FLAG,SECTION,ELEMENT,SCENARIO,Test Case Status,CASE,XPATH,FILENAME,Status
,Vol3750,test,valid,16/07/2020,v,"{""xpath"":[{""field"":""/MCCI_IN200100UV01/PORR_IN049006UV/controlActProcess/subject/investigationEvent/subjectOf1/controlActEvent/primaryInformationRecipient/assignedEntity[code/@code=\""T95009\""]/addr/state"",""value"":""null""}]}",Vol3750_test_valid_44028_v,
,Vol3750,test,valid,16/07/2020,v,"{""xpath"":[{""field"":""/MCCI_IN200100UV01/PORR_IN049006UV/controlActProcess/subject/investigationEvent/subjectOf1/controlActEvent/primaryInformationRecipient/assignedEntity[code/@code=\""T95009\""]/addr/state"",""value"":""null""}]}",SubmittingOrganizationIDJuly02,"{""_id"": {""$numberLong"": ""20000000073""}, ""officialReceiveDate"": {""$date"": 1595112363619}, ""batchSenderIdentifier"": ""SubmittingOrganizationIDJuly02"", ""batchNumber"": ""2_21987-1-vich_all_elements_template_volumetest.xmlBno"", ""sender"": {""identifier"": ""batch-sender-identifier-id-webtrader""}, ""batchReceiverIdentifier"": ""USFDACVM"", ""batchCreationTime"": {""$date"": 1582890279000}, ""aerVersion"": ""VICHAER1.0.0"", ""reports"": [{""reportId"": {""$numberLong"": ""20000000073""}, ""messageSenderIdentifier"": ""senders-June-30-1024-safety-report-identifier-oid"", ""messageIdentifier"": ""2_21987-1-vich_all_elements_template_volumetest.xmlR"", ""sender"": {""identifier"": ""unknown""}, ""messageReceiverIdentifer"": ""unknown"", ""messageCreationDate"": {""$date"": 1582890279000}, ""reportIdentifierCode"": ""N123123"", ""thirdCountryIndicatorCode"": ""C62264"", ""animalData"": {""numberTreated"": 1, ""numberAffected"": 3, ""assessmentPriorCode"": ""C82488"", ""speciesCode"": ""CTT"", ""breedCodesCross"": [""DOG88""], ""genderCode"": ""C16576"", ""reproductiveStatusCode"": ""C62399"", ""femalePhysiologicalStatusCode"": ""NA"", ""weight"": {""methodCode"": ""C44473"", ""lowValue"": 125.0, ""lowUnit"": ""kg"", ""highValue"": 225.0, ""highUnit"": ""kg""}, ""age"": {""methodCode"": ""C25498"", ""lowValue"": 7.0, ""lowUnit"": ""mo"", ""highValue"": 3.0, ""highUnit"": ""a""}}, ""vmps"": [{""brandName"": ""Onsior 6 mg"", ""productCode"": ""01234-*444"", ""registrationId"": ""USA-USFDACVM-N141320"", ""atcVetCode"": ""QM01AH91"", ""companyOrMAH"": ""Elanco Animal Health Inc."", ""assessmentMAH"": ""4000 chars here"", ""routeOfExposure"": [{""routeCode"": ""C38288"", ""doseNumeratorValue"": 2.0, ""doseNumeratorUnitsCode"": ""C48549"", ""doseDenominatorValue"": 1.0, ""intervalOfAdminValue"": 8, ""dateOfFirstExposure"": {""$date"": 1498867200000}, ""dateOfFirstExposurePrecision"": ""d"", ""dateOfLastExposure"": {""$date"": 1530403200000}, ""dateOfLastExposurePrecision"": ""d""}], ""activeIngredients"": [{""name"": ""robenacoxib"", ""strengthNumeratorValue"": 6.0, ""strengthNumeratorUnitsCode"": ""mg"", ""strengthDenominatorValue"": 1.0, ""strengthDenominatorUnitsCode"": ""C25488"", ""code"": ""Z588009C7C""}], ""dosageFormCode"": ""C42998"", ""lotNumber"": ""GAP3487 FOR\n\t\t\t\t\t\t\t\t\t\t\t\t\t\t\tUSA-123479"", ""lotExpirationDate"": ""20060405"", ""whoAdministeredCode"": ""C82468"", ""wasUseAccordingToLabel"": false, ""wasOffLabelSpecies"": false, ""wasOffLabelRoute"": false, ""wasOffLabelOverdosed"": true, ""wasOffLabelUnderdosed"": true, ""wasOffLabelRegimen"": true, ""wasOffLabelIndication"": true, ""wasOffLabelStorage"": true, ""wasOffLabelExpired"": true, ""wasOffLabelOther"": true}], ""aeData"": {""narrative"": ""The sows and gilts were given the two\n\t\t\t\t\t\tmedications. Two days after receiving the chloratetracycline\n\t\t\t\t\t\tpenicillin combination in the feed the sows and gilts started\n\t\t\t\t\t\tgoing off feed. A closer inspection of GAP7777 FOR USA-124578\n\t\t\t\t\t\tindicated some kind of foreign contaminant in the Type A medicated\n\t\t\t\t\t\tarticle bag. SUPPLEMENTAL:document number one was supplied by\n\t\t\t\t\t\tattending vet. Document number two was supplied by ABC Labs, Inc.\n\t\t\t\t\t\tat the request of the attending vet.\n\t\t\t\t\t\tSUPPLEMENTAL DOCUMENTS:\n\t\t\t\t\t\t1.Other-FDA HL7 additional text"", ""adverseClinicalManifestations"": [{""veddraLltCode"": ""2283"", ""numberOfAnimals"": 1, ""numberOfAnimalsAccuracyCode"": ""C25498""}], ""onsetDate"": {""$date"": 1149724800000}, ""onsetDatePrecision"": ""d"", ""lengthOfTimeExposureToOnsetCode"": ""C82440"", ""duration"": {""time"": 5.0, ""timeUnit"": ""d""}, ""seriousness"": true, ""treatmentFlag"": true, ""outcomeToDateCountOngoing"": 3, ""outcomeToDateCountRecoveredNormal"": 2, ""outcomeToDateCountRecoveredWithSequela"": 1, ""outcomeToDateCountDied"": 1, ""outcomeToDateCountEuthanized"": 1, ""outcomeToDateCountUnknown"": 0, ""previousExposure"": true, ""previousAE"": true}, ""dechallenge"": true, ""rechallenge"": true, ""vetSuspicionCode"": ""C82490"", ""linkedReports"": [{""linkedReportIdentifier"": ""USA-FDASENDR-2009-US-01234"", ""linkageExplanationCode"": ""LTOT""}], ""attachedDocuments"": [{""filename"": ""1_Additional_info.txt"", ""documentTypeCode"": ""C17649""}], ""adminAndId"": {""regulatoryAuthority"": {""name"": ""European Medicines Agency"", ""streetAddress"": ""7 Westferry Circus Canary Wharf "", ""city"": ""London"", ""state"": ""NRW"", ""postcode"": ""E14 4HB"", ""countryCode"": ""GBR""}, ""mah"": {""businessName"": ""Company Animal Health GmbH"", ""streetAddress"": ""Building MON 6700"", ""city"": ""Leverkusen"", ""state"": ""NRW"", ""postcode"": ""51368"", ""countryCode"": ""DEU"", ""personTitle"": ""MS."", ""personFirstName"": ""Testgivenname"", ""personLastName"": ""familyname"", ""personTelephone"": ""77777777777"", ""personFax"": ""77777777777"", ""personEmail"": ""representedorganisation@gmail.com""}, ""reporterPrimary"": {""categoryCode"": ""C17649"", ""personLastName"": ""Peterson"", ""personFirstName"": ""Glenn"", ""telephone"": ""+1-888-1234567"", ""email"": ""vet1@example.com"", ""streetAddress"": ""1st Old Street "", ""city"": ""SmallTown"", ""state"": ""NC"", ""postcode"": ""28467"", ""countryCode"": ""USA""}, ""reporterOther"": {""categoryCode"": ""C82468"", ""personLastName"": ""Peterson"", ""personFirstName"": ""Glenn"", ""telephone"": ""+1-888-1234567"", ""email"": ""vet1@example.com"", ""streetAddress"": ""1st Old Street "", ""city"": ""SmallTown"", ""state"": ""AZ"", ""postcode"": ""12345"", ""countryCode"": ""USA""}, ""information"": {""identificationNumber"": ""2_21987-1-vich_all_elements_template_volumetest.xmlC"", ""originalReceiveDate"": {""$date"": 1581984000000}, ""currentSubmissionDate"": {""$date"": 1582848000000}, ""typeOfSubmissionCode"": ""C53578"", ""nullificationReason"": ""4000 chars here"", ""typeOfInformationCode"": ""C82452""}}}]}"
Y,A.1.1,RAname,null,n,mandatory,"{""xpath"":[{ ""field"":""/MCCI_IN200100UV01/PORR_IN049006UV/controlActProcess/subject/investigationEvent/subjectOf1/controlActEvent/primaryInformationRecipient/assignedEntity[code/@code=\""T95009\""]/representedOrganization/name"",""value"":""null""}]}",A11_RAname_null_n,
Y,A.1.1,RAname,null,n,mandatory,"{""xpath"":[{ ""field"":""/MCCI_IN200100UV01/PORR_IN049006UV/controlActProcess/subject/investigationEvent/subjectOf1/controlActEvent/primaryInformationRecipient/assignedEntity[code/@code=\""T95009\""]/representedOrganization/name"",""value"":""null""}]}",A11_RAname_null_n,
Y,A.1.2,streetAddressLine,null,n,mandatory,"{""xpath"":[{ ""field"":""/MCCI_IN200100UV01/PORR_IN049006UV/controlActProcess/subject/investigationEvent/subjectOf1/controlActEvent/primaryInformationRecipient/assignedEntity[code/@code=\""T95009\""]/addr/streetAddressLine"",""value"":""null""}]}",A12_streetAddressLine_null_n,
Y,A.1.3,city,null,n,mandatory,"{""xpath"":[{ ""field"":""/MCCI_IN200100UV01/PORR_IN049006UV/controlActProcess/subject/investigationEvent/subjectOf1/controlActEvent/primaryInformationRecipient/assignedEntity[code/@code=\""T95009\""]/addr/city"",""value"":""null""}]}",A13_city_null_n,
Y,A.1.6,country,null,n,mandatory,"{""xpath"":[{ ""field"":""/MCCI_IN200100UV01/PORR_IN049006UV/controlActProcess/subject/investigationEvent/subjectOf1/controlActEvent/primaryInformationRecipient/assignedEntity[code/@code=\""T95009\""]/addr/country"",""value"":""null""}]}",A16_country_null_n,
Y,A.2.1.2,Streetaddress,null,n,mandatory,"{""xpath"":[{ ""field"":""/MCCI_IN200100UV01/PORR_IN049006UV/controlActProcess/subject/investigationEvent/subjectOf1/controlActEvent/author/assignedEntity[code/@code=\""T95001\""]/addr/streetAddressLine"",""value"":""null""}]}",A212_Streetaddress_null_n,
Y,A.2.1.3,city,null,n,mandatory,"{""xpath"":[{ ""field"":""/MCCI_IN200100UV01/PORR_IN049006UV/controlActProcess/subject/investigationEvent/subjectOf1/controlActEvent/author/assignedEntity[code/@code=\""T95001\""]/addr/city"",""value"":""null""}]}",A213_city_null_n,
Y,A.2.1.5,postalCode,null,n,mandatory,"{""xpath"":[{ ""field"":""/MCCI_IN200100UV01/PORR_IN049006UV/controlActProcess/subject/investigationEvent/subjectOf1/controlActEvent/author/assignedEntity[code/@code=\""T95001\""]/addr/postalCode"",""value"":""null""}]}",A215_postalCode_null_n,
Y,A.2.1.6,country,null,n,mandatory,"{""xpath"":[{ ""field"":""/MCCI_IN200100UV01/PORR_IN049006UV/controlActProcess/subject/investigationEvent/subjectOf1/controlActEvent/author/assignedEntity[code/@code=\""T95001\""]/addr/country"",""value"":""remove""}]}",A216_country_null_n,
Y,A.3.1.3,PrimaryReporterCategoryFamilyName,null,n,mandatory,"{""xpath"":[{ ""field"":""/MCCI_IN200100UV01/PORR_IN049006UV/controlActProcess/subject/investigationEvent/outboundRelationship[priorityNumber/@value=1]/relatedInvestigation[code/@code=\""T95002\""]/participation/assignedEntity/assignedPerson/name/family"",""value"":""null""}]}",A313_PrimaryReporterCategoryFamilyName_null_n,
